Source,Abbreviation,Content,Rating,Cleaned Content,Stemmed Content,Language,Segmented Content
General Organization for Social Insurance,GOSI, no english,1,no english,no english,en,no english
"Communication, Space and Technology Commission",CST," Not a professional customer service, yet favoring the communication companies over the customers",1,not a professional customer service yet favoring the communication companies over the customers,not professional customer service yet favor communication company customer,en,not a professional customer service yet favoring the communication companies over the customers
SPL Online ,SPL, not opening,1,not opening,not open,en,not opening
SPL Online ,SPL, received tons of scams & fraud on my register e-mail & phone.. ,1,received tons of scams fraud on my register email phone,receive ton scam fraud register email phone,en,received tons of scams fraud on my register email phone
SPL Online ,SPL, spl international is a real waste of time and money ,1,spl international is a real waste of time and money,spl international real waste time money,en,spl international is a real waste of time and money
My Reports (940 Reports),Baladia Report, the application does not work.,1,the application does not work,application not work,en,the application does not work
Saudi Railway,SAR, The old app was much better.,1,the old app was much better,old app much well,en,the old app was much better
 NAFATH, NAFATH, Wants face verification for what؟,1,wants face verification for what,want face verification,en,wants face verification for what
Tawakkalna Services,Tawakkalna Services, when i log in to tawakalna it automatically log out ,1,when i log in to tawakalna it automatically log out,I log tawakalna automatically log,en,when i log in to tawakalna it automatically log out
General Organization for Social Insurance,GOSI, where is English language ?,1,where is english language,english language,en,where is english language
Enjoy Saudi,Enjoy Saudi, why the app keeps crashing as soon as it opened??!! ,1,why the app keeps crashing as soon as it opened,app keep crash soon open,en,why the app keeps crashing as soon as it opened
Watani - We hear you,Watani,"- I can't enter, i have press on start it kicks me",1,i cannot enter i have press on start it kicks me,I not enter I press start kick I,en,i cannot enter i have press on start it kicks me
Discounts,Discounts,"- nearby doesn't work even though I enabled location 
- doesn't have database of all stores so you can follow and wait for discount, only discounted apps.
- requires registration along with mobile and email. Registration should be optional",1,nearby does not work even though i enabled location does not have database of all stores so you can follow and wait for discount only discounted apps requires registration along with mobile and email registration should be optional,nearby not work even though I enable location not database store follow wait discount discount app require registration along mobile email registration optional,en,nearby does not work even though i enabled location does not have database of all stores so you can follow and wait for discount only discounted apps requires registration along with mobile and email registration should be optional
SPL Online ,SPL,";Please update your app to the latest verison;، Already update there is no updates on Google Play.",1,please update your app to the latest verison already update there is no updates on google play,please update app late verison already update no update google play,en,please update your app to the latest verison already update there is no updates on google play
Enjoy Saudi,Enjoy Saudi,. Apps crashes immediately on my S8+ It doesn't even get to the (splash) launch screen.,1,apps crashes immediately on my s it does not even get to the splash launch screen,app crash immediately s not even get splash launch screen,en,apps crashes immediately on my s it does not even get to the splash launch screen
Kollona Amn,Kollona Amn,. you need to add a cancel report option,1,you need to add a cancel report option,need add cancel report option,en,you need to add a cancel report option
SPL Online ,SPL,.they give me a wrong address ..cant search correctly my address by my location..and i cant delete my wrong address which is my problem to open an bank account...,1,they give me a wrong address cannot search correctly my address by my locationand i cannot delete my wrong address which is my problem to open an bank account,give I wrong address not search correctly address locationand I not delete wrong address problem open bank account,en,they give me a wrong address cannot search correctly my address by my locationand i cannot delete my wrong address which is my problem to open an bank account
SAUDIA,SAUDIA,👎 Last update does not cover all needs like before. No save boarding pass. Not even sending to email or save in wallet. Finger print not working. Please bring back old app,1,last update does not cover all needs like before no save boarding pass not even sending to email or save in wallet finger print not working please bring back old app,last update not cover need like no save boarding pass not even send email save wallet finger print not work please bring back old app,en,last update does not cover all needs like before no save boarding pass not even sending to email or save in wallet finger print not working please bring back old app
SAUDIA,SAUDIA,"1- I can’t book a flight from the app for a couple of months now “the issue didn’t resolve with the last updates”
2- your miles will not be added automatically to ur loyalty account, and you can’t add them manually in the app, you have to text them on their WhatsApp number to add them “takes +4 hours to respond + customer services employees are rude”",1, i cannot book a flight from the app for a couple of months now “the issue did not resolve with the last updates”  your miles will not be added automatically to you are loyalty account and you cannot add them manually in the app you have to text them on their whatsapp number to add them “takes  hours to respond customer services employees are rude”, I not book flight app couple month  issue not resolve last update   mile not add automatically loyalty account not add manually app text whatsapp number add  take  hour respond customer service employee rude ,en,i cannot book a flight from the app for a couple of months now “ the issue did not resolve with the last updates ” your miles will not be added automatically to you are loyalty account and you cannot add them manually in the app you have to text them on their whatsapp number to add them “ takes hours to respond customer services employees are rude ”
SAUDIA,SAUDIA,2.14.4 version not working at all. App isnt opening..!!! You are loosing business here by forcing me to update app which doesnt work at all.,1, version not working at all app is not opening you are loosing business here by forcing me to update app which does not work at all, version not work app not open loose business force I update app not work,en,version not working at all app is not opening you are loosing business here by forcing me to update app which does not work at all
SAUDIA,SAUDIA,97 mb? That is too much for an app like this.,1, mb that is too much for an app like this, mb much app like,en,mb that is too much for an app like this
AL KAHRABA,KAHRABA,A company without a competitor domains!,1,a company without a competitor domains,company without competitor domain,en,a company without a competitor domains
National Water Company,NWC,"A failed company that does not care about customer problems and programmed automatic responses, and any complaint is closed with only two words (it has been processed) and it has not been resolved at all. I don't know why this silence on her until now?!!!",1,a failed company that does not care about customer problems and programmed automatic responses and any complaint is closed with only two words it has been processed and it has not been resolved at all i do not know why this silence on her until now,fail company not care customer problem program automatic response complaint close two word process not resolve I not know silence,en,a failed company that does not care about customer problems and programmed automatic responses and any complaint is closed with only two words it has been processed and it has not been resolved at all i do not know why this silence on her until now
Absher,Absher,A good website for easy solving your problm,1,a good website for easy solving your problm,good website easy solve problm,en,a good website for easy solving your problm
SAUDIA,SAUDIA,A lot of bugs,1,a lot of bugs,lot bug,en,a lot of bugs
SAUDIA,SAUDIA,"a lot of bugs , fursan is not logining in .. and the check in is not convenient ... not offering access through al fursan number .",1,a lot of bugs fursan is not logining in and the check in is not convenient not offering access through al fursan number,lot bug fursan not logine check not convenient not offer access al fursan number,en,a lot of bugs fursan is not logining in and the check in is not convenient not offering access through al fursan number
SAUDIA,SAUDIA,A lot of bugs!! Worst App ever.,1,a lot of bugs worst app ever,lot bug bad app ever,en,a lot of bugs worst app ever
SAUDIA,SAUDIA,"A number of issues including option for multiple cities , alfursan , aircraft type , and many more .",1,a number of issues including option for multiple cities alfursan aircraft type and many more,number issue include option multiple city alfursan aircraft type many,en,a number of issues including option for multiple cities alfursan aircraft type and many more
SAUDIA,SAUDIA,"A really bad app experience, there’s almost nothing you could do on the app. It just buggy and it has been like this for a very long time.",1,a really bad app experience there is almost nothing you could do on the app it just buggy and it has been like this for a very long time,really bad app experience almost nothing could app buggy like long time,en,a really bad app experience there is almost nothing you could do on the app it just buggy and it has been like this for a very long time
MOLIM,MOLIM,"A rip off, they accept dirt on you from various companies like telco or banks, upload it to your account without informing you, even if its not completely accurate or even false, and when you inquire for your report, they ask you to pay for it, theft at it's finest ;).",1,a rip off they accept dirt on you from various companies like telco or banks upload it to your account without informing you even if its not completely accurate or even false and when you inquire for your report they ask you to pay for it theft at it is finest,rip accept dirt various company like telco bank upload account without inform even not completely accurate even false inquire report ask pay theft fine,en,a rip off they accept dirt on you from various companies like telco or banks upload it to your account without informing you even if its not completely accurate or even false and when you inquire for your report they ask you to pay for it theft at it is finest
SAUDIA,SAUDIA,"A terrible app. App crashes regularly. It closes down immediately after selecting Alfursan. Often reward miles are different total to online.. Have contacted Saudia many times, they say software upgrade from Dec DiD not work and new company employed to sort. Asked when this will be- no answer. Appalling.",1,a terrible app app crashes regularly it closes down immediately after selecting alfursan often reward miles are different total to online have contacted saudia many times they say software upgrade from dec did not work and new company employed to sort asked when this will be no answer appalling,terrible app app crash regularly close immediately select alfursan often reward mile different total online contact saudia many time say software upgrade dec not work new company employ sort ask no answer appalling,en,a terrible app app crashes regularly it closes down immediately after selecting alfursan often reward miles are different total to online have contacted saudia many times they say software upgrade from dec did not work and new company employed to sort asked when this will be no answer appalling
"Communication, Space and Technology Commission",CST,Aaking for update but there is no update,1,aaking for update but there is no update,aake update no update,en,aaking for update but there is no update
Absher,Absher,"Absher is bad. Long time i didnt open and now its telling me wrong password. We i try uninstall and installed it again. It said, can not proceed. When i try to forget password it said wrong passport number even it is correct.what happen? Please help me fix it thanks",1,absher is bad long time i did not open and now its telling me wrong password we i try uninstall and installed it again it said can not proceed when i try to forget password it said wrong passport number even it is correctwhat happen please help me fix it thanks,absher bad long time I not open tell I wrong password I try uninstall instal say not proceed I try forget password say wrong passport number even correctwhat happen please help I fix thank,en,absher is bad long time i did not open and now its telling me wrong password we i try uninstall and installed it again it said can not proceed when i try to forget password it said wrong passport number even it is correctwhat happen please help me fix it thanks
Report Trade Violation,RTV,"Absolute trash, app crashes all the time, can't save any details you wrote if you just swap between apps, and after you write them everything and provide video/picture evidence, app won't send the report. If you want people to send you reports and anything like that, you should develop a decent app that will help you and us to report not one or two reports, we report every day.",1,absolute trash app crashes all the time cannot save any details you wrote if you just swap between apps and after you write them everything and provide video/picture evidence app will not send the report if you want people to send you reports and anything like that you should develop a decent app that will help you and us to report not one or two reports we report every day,absolute trash app crash time not save detail write swap app write everything provide video  picture evidence app not send report want people send report anything like develop decent app help report not one two report report every day,en,absolute trash app crashes all the time cannot save any details you wrote if you just swap between apps and after you write them everything and provide video / picture evidence app will not send the report if you want people to send you reports and anything like that you should develop a decent app that will help you and us to report not one or two reports we report every day
SAUDIA,SAUDIA,"absolutely rubbish app! there is nothing you can really do on there. cannot select seats, view What's on your flight, nothing!! you would think with all that money they could at least build a decent app!",1,absolutely rubbish app there is nothing you can really do on there cannot select seats view what is on your flight nothing you would think with all that money they could at least build a decent app,absolutely rubbish app nothing really not select seat view flight nothing would think money could least build decent app,en,absolutely rubbish app there is nothing you can really do on there cannot select seats view what is on your flight nothing you would think with all that money they could at least build a decent app
SAUDIA,SAUDIA,"Absolutely rubbish, useless and highly unrecommended",1,absolutely rubbish useless and highly unrecommended,absolutely rubbish useless highly unrecommended,en,absolutely rubbish useless and highly unrecommended
SPL Online ,SPL,Actually you don’t need improvement you need to rebuild again from the zero.,1,actually you do not need improvement you need to rebuild again from the zero,actually not need improvement need rebuild zero,en,actually you do not need improvement you need to rebuild again from the zero
Muqeem,Muqeem,add english language,1,add english language,add english language,en,add english language
SPL Online ,SPL,Address is not working!!!,1,address is not working,address not work,en,address is not working
SPL Online ,SPL,"After android 12 update to my Samsung S20 +, the app just disappeared and i can not reinstall , don't know what happened !!!!!?????",1,after android  update to my samsung s the app just disappeared and i can not reinstall do not know what happened,android  update samsung s app disappear I not reinstall not know happen,en,after android update to my samsung s the app just disappeared and i can not reinstall do not know what happened
Absher,Absher,After done the activation at the machine still showing inactive account. Very poor system. Cannot reach their support staff.,1,after done the activation at the machine still showing inactive account very poor system cannot reach their support staff,activation machine still show inactive account poor system not reach support staff,en,after done the activation at the machine still showing inactive account very poor system cannot reach their support staff
"Communication, Space and Technology Commission",CST,After download this app I'm unable to open because frequently asking for update but there is no updates available???,1,after download this app i am unable to open because frequently asking for update but there is no updates available,download app I unable open frequently ask update no update available,en,after download this app i am unable to open because frequently asking for update but there is no updates available
SPL Online ,SPL,"after downloading, it can not be installed",1,after downloading it can not be installed,download not instal,en,after downloading it can not be installed
SPL Online ,SPL,"After I upgrade my mobile to andriod 12, I cant install the application",1,after i upgrade my mobile to andriod  i cannot install the application,I upgrade mobile andriod  I not install application,en,after i upgrade my mobile to andriod i cannot install the application
Tawakkalna Services,Tawakkalna Services,"After installation, the app doesn't open. While opens it, shuts within seconds without opening..need a solution",1,after installation the app does not open while opens it shuts within seconds without openingneed a solution,installation app not open open shut within second without openingneed solution,en,after installation the app does not open while opens it shuts within seconds without openingneed a solution
SAUDIA,SAUDIA,"After it was fixed, the problem came back. I cannot access Alfursan on this app as it crashes everytime I try to open my alfursan account 👎👎👎👎👎👎",1,after it was fixed the problem came back i cannot access alfursan on this app as it crashes everytime i try to open my alfursan account,fix problem come back I not access alfursan app crash everytime I try open alfursan account,en,after it was fixed the problem came back i cannot access alfursan on this app as it crashes everytime i try to open my alfursan account
SAUDIA,SAUDIA,After last update i couldnt go to fursan membershipe part. Keep stopping and not working,1,after last update i could not go to fursan membershipe part keep stopping and not working,last update I could not go fursan membershipe part keep stop not work,en,after last update i could not go to fursan membershipe part keep stopping and not working
SAUDIA,SAUDIA,After last update keep crashing and give wrong information about my mils,1,after last update keep crashing and give wrong information about my mils,last update keep crash give wrong information mil,en,after last update keep crashing and give wrong information about my mils
Absher,Absher,After login into the application try to activate the digital ID but application crashes all the time.,1,after login into the application try to activate the digital id but application crashes all the time,login application try activate digital application crash time,en,after login into the application try to activate the digital id but application crashes all the time
SAUDIA,SAUDIA,"After recent updates today, the app is not working and crashing every time when am trying to open on my Note 8. Please fix this issue..",1,after recent updates today the app is not working and crashing every time when am trying to open on my note  please fix this issue,recent update today app not work crash every time try open note  please fix issue,en,after recent updates today the app is not working and crashing every time when am trying to open on my note please fix this issue
SPL Online ,SPL,"After resetting my password, I can’t login anymore. It always keep loading and then error,",1,after resetting my password i cannot login anymore it always keep loading and then error,reset password I not login anymore always keep load error,en,after resetting my password i cannot login anymore it always keep loading and then error
SAUDIA,SAUDIA,After sending al fursan verification code it stop working even after I try to activate again it doesn't work.... big disappointment...tried to contact but no answer,1,after sending al fursan verification code it stop working even after i try to activate again it does not work big disappointmenttried to contact but no answer,send al fursan verification code stop work even I try activate not work big disappointmenttrie contact no answer,en,after sending al fursan verification code it stop working even after i try to activate again it does not work big disappointmenttried to contact but no answer
 NAFATH, NAFATH,After signing in the request page won't open.,1,after signing in the request page will not open,sign request page not open,en,after signing in the request page will not open
SPL Online ,SPL,After so many updates I can't even install it on my phone I have never seen such a stupid app and such developers,1,after so many updates i cannot even install it on my phone i have never seen such a stupid app and such developers,many update I not even install phone I never see stupid app developer,en,after so many updates i cannot even install it on my phone i have never seen such a stupid app and such developers
SAUDIA,SAUDIA,After the last update application no longer responsive and keeps hanging.. Not stable,1,after the last update application no longer responsive and keeps hanging not stable,last update application no long responsive keep hang not stable,en,after the last update application no longer responsive and keeps hanging not stable
SAUDIA,SAUDIA,After the last update it has become a functionless app,1,after the last update it has become a functionless app,last update become functionless app,en,after the last update it has become a functionless app
SAUDIA,SAUDIA,After the last update my booking tab doesn't work.,1,after the last update my booking tab does not work,last update booking tab not work,en,after the last update my booking tab does not work
SPL Online ,SPL,After the last update the application doesn't work and it will always tell that there is no shipment.,1,after the last update the application does not work and it will always tell that there is no shipment,last update application not work always tell no shipment,en,after the last update the application does not work and it will always tell that there is no shipment
SAUDIA,SAUDIA,After the last update the application is not usable at all . Do your testing and quality check right.,1,after the last update the application is not usable at all do your testing and quality check right,last update application not usable testing quality check right,en,after the last update the application is not usable at all do your testing and quality check right
SAUDIA,SAUDIA,"After the last updates the application struggles with bugs, closing, delay updating data, not operating, no open for functioning. Worst update , and al fursan account is crashing all the time.",1,after the last updates the application struggles with bugs closing delay updating data not operating no open for functioning worst update and al fursan account is crashing all the time,last update application struggle bug closing delay update datum not operate no open function bad update al fursan account crash time,en,after the last updates the application struggles with bugs closing delay updating data not operating no open for functioning worst update and al fursan account is crashing all the time
SAUDIA,SAUDIA,After the latest update it hangs alot and it gives me that there are no flights,1,after the latest update it hangs alot and it gives me that there are no flights,late update hang alot give I no flight,en,after the latest update it hangs alot and it gives me that there are no flights
SAUDIA,SAUDIA,After the most recent update it keeps crashing at start up,1,after the most recent update it keeps crashing at start up,recent update keep crash start,en,after the most recent update it keeps crashing at start up
SPL Online ,SPL,"After the recent update, the app un installed it self and since then not able to install it again.",1,after the recent update the app un installed it self and since then not able to install it again,recent update app un instal self since not able install,en,after the recent update the app un installed it self and since then not able to install it again
SPL Online ,SPL,After the update .its always error,1,after the update its always error,update always error,en,after the update its always error
SAUDIA,SAUDIA,After the update am not able to enter to my fursan as the application closes immediately. Also alfursan miles never ever added automatically after the flight is done.. very bad app. and customer service,1,after the update am not able to enter to my fursan as the application closes immediately also alfursan miles never ever added automatically after the flight is done very bad app and customer service,update not able enter fursan application close immediately also alfursan mile never ever add automatically flight bad app customer service,en,after the update am not able to enter to my fursan as the application closes immediately also alfursan miles never ever added automatically after the flight is done very bad app and customer service
SAUDIA,SAUDIA,"After the update, the app has become very unresponsive 🙄😕",1,after the update the app has become very unresponsive,update app become unresponsive,en,after the update the app has become very unresponsive
SAUDIA,SAUDIA,"After this update and the previous one, the application is not opening at all.",1,after this update and the previous one the application is not opening at all,update previous one application not open,en,after this update and the previous one the application is not opening at all
SAUDIA,SAUDIA,"After update ,Jest keep loading for Alfursan Miles and not showing the details",1,after update jest keep loading for alfursan miles and not showing the details,update jest keep load alfursan mile not show detail,en,after update jest keep loading for alfursan miles and not showing the details
Absher,Absher,After update couldn't log in its showing error every time,1,after update could not log in its showing error every time,update could not log showing error every time,en,after update could not log in its showing error every time
 NAFATH, NAFATH,After update Face recognition denied,1,after update face recognition denied,update face recognition deny,en,after update face recognition denied
SAUDIA,SAUDIA,After update I can't put the date😂😂😂,1,after update i cannot put the date,update I not put date,en,after update i cannot put the date
"Communication, Space and Technology Commission",CST,After update need updated and updated and updated!!,1,after update need updated and updated and updated,update need update update update,en,after update need updated and updated and updated
SAUDIA,SAUDIA,After update not more working and unresponsive,1,after update not more working and unresponsive,update not working unresponsive,en,after update not more working and unresponsive
Saudi Railway,SAR,After update the application is not working any more,1,after update the application is not working any more,update application not work,en,after update the application is not working any more
AL KAHRABA,KAHRABA,After update the application keeps failing due to java exception,1,after update the application keeps failing due to java exception,update application keep fail due java exception,en,after update the application keeps failing due to java exception
AL KAHRABA,KAHRABA,after update this application not working properly. How to Check Electricity Bill in KSA without registration.,1,after update this application not working properly how to check electricity bill in ksa without registration,update application not work properly check electricity bill ksa without registration,en,after update this application not working properly how to check electricity bill in ksa without registration
SAUDIA,SAUDIA,"After update to new app, unable to change the seat in Economy, Business class.",1,after update to new app unable to change the seat in economy business class,update new app unable change seat economy business class,en,after update to new app unable to change the seat in economy business class
"Communication, Space and Technology Commission",CST,After updating then when I open the app still saying update the app. ,1,after updating then when i open the app still saying update the app,update I open app still say update app,en,after updating then when i open the app still saying update the app
SPL Online ,SPL,After upgrading my phone system app was unistalled and not able to reinstall,1,after upgrading my phone system app was unistalled and not able to reinstall,upgrade phone system app unistalle not able reinstall,en,after upgrading my phone system app was unistalled and not able to reinstall
SAUDIA,SAUDIA,Again i am unable to search the flight. Can you fix this app once for all. Disappointed!,1,again i am unable to search the flight can you fix this app once for all disappointed,I unable search flight fix app disappoint,en,again i am unable to search the flight can you fix this app once for all disappointed
SAUDIA,SAUDIA,"Al fursan icon is not working on the App. If you click on it, it close the app",1,al fursan icon is not working on the app if you click on it it close the app,al fursan icon not work app click close app,en,al fursan icon is not working on the app if you click on it it close the app
Saudi Railway,SAR,Al the trips full even after two months the app doesn't work as its suppose to be,1,al the trips full even after two months the app does not work as its suppose to be,al trip full even two month app not work suppose,en,al the trips full even after two months the app does not work as its suppose to be
SPL Online ,SPL,Alami does not work on the app,1,alami does not work on the app,alami not work app,en,alami does not work on the app
SAUDIA,SAUDIA,alfursan not loading in android,1,alfursan not loading in android,alfursan not load android,en,alfursan not loading in android
SAUDIA,SAUDIA,ALFURSAN option is crashing the App,1,alfursan option is crashing the app,alfursan option crash app,en,alfursan option is crashing the app
SAUDIA,SAUDIA,Alfursan tab is loading forever and never open !!!! Such horrible update,1,alfursan tab is loading forever and never open such horrible update,alfursan tab load forever never open horrible update,en,alfursan tab is loading forever and never open such horrible update
SAUDIA,SAUDIA,Alfursan tab keeps crashing,1,alfursan tab keeps crashing,alfursan tab keep crash,en,alfursan tab keeps crashing
SAUDIA,SAUDIA,Alfusan does not work. It keeps closing the app in error,1,alfusan does not work it keeps closing the app in error,alfusan not work keep close app error,en,alfusan does not work it keeps closing the app in error
Tawakkalna Services,Tawakkalna Services,"All Arabic I don't understand , this app I think don't have language option. 😭😭😭😭😭",1,all arabic i do not understand this app i think do not have language option,arabic I not understand app I think not language option,en,all arabic i do not understand this app i think do not have language option
Najiz,Najiz,All Arabic not English,1,all arabic not english,arabic not english,en,all arabic not english
 NAFATH, NAFATH,all in Arabic,1,all in arabic,arabic,en,all in arabic
SPL Online ,SPL,"All of a sudden after the new look for this app, I couldn't logging and my previous balance was lost and a shocking balance was appearing with a big amounts in addition now the tracking features is not working properly, hopefully they are still working on to fix this problem",1,all of a sudden after the new look for this app i could not logging and my previous balance was lost and a shocking balance was appearing with a big amounts in addition now the tracking features is not working properly hopefully they are still working on to fix this problem,sudden new look app I could not log previous balance lose shocking balance appear big amount addition tracking feature not work properly hopefully still work fix problem,en,all of a sudden after the new look for this app i could not logging and my previous balance was lost and a shocking balance was appearing with a big amounts in addition now the tracking features is not working properly hopefully they are still working on to fix this problem
General Organization for Social Insurance,GOSI,"All the services of GOSI isn’t working. 
The app is old. The screens aren’t updated. Needs a UX/UI enhancements.",1,all the services of gosi is not working the app is old the screens are not updated needs a ux/ui enhancements,service gosi not work app old screen not update need ux  ui enhancement,en,all the services of gosi is not working the app is old the screens are not updated needs a ux / ui enhancements
SAUDIA,SAUDIA,"All the time crashes and can not add new bookings, mobile support team not solve it for long time. Hawaii mobile.",1,all the time crashes and can not add new bookings mobile support team not solve it for long time hawaii mobile,time crash not add new booking mobile support team not solve long time hawaii mobile,en,all the time crashes and can not add new bookings mobile support team not solve it for long time hawaii mobile
Absher,Absher,All time update what is this 🤔,1,all time update what is this,time update,en,all time update what is this
 NAFATH, NAFATH,Allowing the Camera permission is mandatory!,1,allowing the camera permission is mandatory,allow camera permission mandatory,en,allowing the camera permission is mandatory
SPL Online ,SPL,"Almost every time the app updates, i have to sign in again.

The app has no logic , you are logged in , have an address already registered , you want to view your address, you will be asked to register  a new address again !! 

Ok , you take the time to register again. Error message : Another customer already registered with this address !? ",1,almost every time the app updates i have to sign in again the app has no logic you are logged in have an address already registered you want to view your address you will be asked to register a new address again ok you take the time to register again error message another customer already registered with this address,almost every time app update I sign app no logic log address already register want view address ask register new address ok take time register error message another customer already register address,en,almost every time the app updates i have to sign in again the app has no logic you are logged in have an address already registered you want to view your address you will be asked to register a new address again ok you take the time to register again error message another customer already registered with this address
SPL Online ,SPL,Alot of lags and bugs when open the app!,1,alot of lags and bugs when open the app,alot lag bug open app,en,alot of lags and bugs when open the app
 real estate agents,REagent,Also not all landlords are registered to this,1,also not all landlords are registered to this,also not landlord register,en,also not all landlords are registered to this
Saudi Council of Engineers,SCE,"Although received the email for renewal but the + sign in add request renewal is disabled 
disappointing 
please fix",1,although received the email for renewal but the sign in add request renewal is disabled disappointing please fix,although receive email renewal sign add request renewal disabled disappointing please fix,en,although received the email for renewal but the sign in add request renewal is disabled disappointing please fix
AL KAHRABA,KAHRABA,"Although the password is correct, i couldn't login, also can't reset password..",1,although the password is correct i could not login also cannot reset password,although password correct I could not login also not reset password,en,although the password is correct i could not login also cannot reset password
Enjoy Saudi,Enjoy Saudi,Always close.. Not opening at all. note8,1,always close not opening at all note,always close not open note,en,always close not opening at all note
Tawakkalna Services,Tawakkalna Services,Always crashed when I open this app,1,always crashed when i open this app,always crash I open app,en,always crashed when i open this app
SAUDIA,SAUDIA,"Always crashes I can't access my mails records Earned mails are not add automatically, i has to claims every flight 😑",1,always crashes i cannot access my mails records earned mails are not add automatically i has to claims every flight,always crash I not access mail record earn mail not add automatically I claim every flight,en,always crashes i cannot access my mails records earned mails are not add automatically i has to claims every flight
